componente,dominio,responsabilidade,dependencias,evidencia_de_uso,categoria,risco,prerequisito_remocao
supabase/functions/whatsapp-automation-notify,edge,Notificacao de automacao,"Graph API; guardCron pendente de publicacao",6 jobs cron apontam para ela,ESSENCIAL,CRITICO,publicar com guarda
supabase/functions/critical-alerts-tick,edge,Alertas criticos e incidentes,"CRON_SECRET; classificador de outage",job a cada minuto,ESSENCIAL,CRITICO,nao remover
supabase/functions/agent-auth,edge,Auth do agente FASE 2,"AGENT_TOKEN_SECRET; fingerprint",guarda propria,ESSENCIAL,CRITICO,nao remover sem plano de versionamento
supabase/functions/agent-asar-key,edge,Chave AES do asar FASE 3,"fingerprint + token",guarda propria,ESSENCIAL,CRITICO,nao remover sem piloto
supabase/functions/license-validate,edge,Valida licenca do agente,HMAC proprio,guarda propria,ESSENCIAL,CRITICO,nao remover
supabase/functions/whatsapp-webhook,edge,Webhook Meta,assinatura Meta,guarda propria,ESSENCIAL,CRITICO,revalidar no dominio novo
supabase/functions/mcp,edge,Servidor MCP,referencias Lovable,integracao externa,DESCONHECIDO,MEDIO,decidir escopo na migracao
table:system_logs,banco,Log de sistema,-,sem rotina de purga,CANDIDATO_A_ARQUIVO,MEDIO,definir retencao e destino de arquivo
table:agent_logs,banco,Log do agente (alta cardinalidade),-,sem rotina de purga,CANDIDATO_A_ARQUIVO,ALTO,retencao + arquivo frio antes do dump
table:automation_tick_logs,banco,Log do tick de automacao,-,sem rotina de purga,CANDIDATO_A_ARQUIVO,ALTO,retencao
table:whatsapp_message_log,banco,Log de mensagens WhatsApp,-,sem rotina de purga,CANDIDATO_A_ARQUIVO,MEDIO,retencao; possivel exigencia legal
table:farm_notifications,banco,Notificacoes por fazenda,-,sem rotina de purga,CANDIDATO_A_ARQUIVO,MEDIO,retencao
table:whatsapp_health_log,banco,Saude do WhatsApp,-,sem rotina de purga,CANDIDATO_A_ARQUIVO,BAIXO,retencao
table:command_audit,banco,Autoria duravel de comando,-,append-only por design,ESSENCIAL,CRITICO,NAO purgar; e a prova de autoria
table:automation_log,banco,Relatorio de Automacao oficial,-,purga existente,ESSENCIAL,CRITICO,nao remover
table:automation_cleanup_audit,banco,Trilha da Fase B,-,append-only,ESSENCIAL,ALTO,nao remover
table:agent_technical_events,banco,Eventos tecnicos,purge 30d,retencao existente,ESSENCIAL,MEDIO,manter
table:adaptive_telemetry_log,banco,Log do piloto de telemetria,purge 30d,retencao existente,ATIVO_MAS_DUPLICADO,BAIXO,so apos fim do piloto
table:cron_job_backup,banco,Backup de comando de cron,-,contem anon key nos comandos antigos,SECURITY_REMEDIATE,ALTO,restringir leitura; nao migrar conteudo
bucket:agent-releases,storage,Binarios do agente,agent-release-signed-url,OTA,ESSENCIAL,CRITICO,migrar com hashes e revalidar assinatura
bucket:agent-logs,storage,Logs enviados pelo agente,agent-logs-cleanup,diagnostico,CANDIDATO_A_ARQUIVO,MEDIO,definir retencao
electron-agent/main.cjs,agente,Agente Electron completo,"endpoint Supabase hardcoded; Graph API; raw.githubusercontent",producao,ESSENCIAL,CRITICO,nao alterar sem versao piloto
migrations com JWT literal (33),banco,Cron chamando Edge com anon key,projeto de origem fixo,acoplamento,SECURITY_REMEDIATE,ALTO,substituir por cron_invoke/Vault no destino
